Date,AssetValue
2017-05-22,10000.0
2017-05-23,10000.0
2017-05-24,10000.0
2017-05-25,10000.0
2017-05-26,10000.0
2017-05-30,10000.0
2017-05-31,10000.0
2017-06-01,10000.0
2017-06-02,10000.0
2017-06-05,10000.0
2017-06-06,10000.0
2017-06-07,10000.0
2017-06-08,10000.0
2017-06-09,9941.707305908203
2017-06-12,9872.648162841797
2017-06-13,9906.69204711914
2017-06-14,9851.21353149414
2017-06-15,9809.020690917969
2017-06-16,9691.466979980469
2017-06-19,9967.799072265625
2017-06-20,9877.498474121094
2017-06-21,9935.888061523438
2017-06-22,9919.595031738281
2017-06-23,9963.726348876953
2017-06-26,9932.494659423828
2017-06-27,9790.592346191406
2017-06-28,9933.171844482422
2017-06-29,9787.196807861328
2017-06-30,9810.281982421875
2017-07-03,9774.977569580078
2017-07-05,9815.035095214844
2017-07-06,9722.698669433594
2017-07-07,9821.144714355469
2017-07-10,9880.894012451172
2017-07-11,9912.803955078125
2017-07-12,9927.063293457031
2017-07-13,10064.88754272461
2017-07-14,10151.115417480469
2017-07-17,10186.4208984375
2017-07-18,10221.726379394531
2017-07-19,10285.54946899414
2017-07-20,10239.376983642578
2017-07-21,10234.628143310547
2017-07-24,10358.196258544922
2017-07-25,10402.327575683594
2017-07-26,10451.213073730469
2017-07-27,10254.316711425781
2017-07-28,10182.348175048828
2017-07-31,10130.067138671875
2017-08-01,10219.690551757812
2017-08-02,10701.065521240234
2017-08-03,10594.469757080078
2017-08-04,10650.14419555664
2017-08-07,10814.449157714844
2017-08-08,10900.675964355469
2017-08-09,10967.213134765625
2017-08-10,10618.908233642578
2017-08-11,10766.137237548828
2017-08-14,10927.680053710938
2017-08-15,11046.963958740234
2017-08-16,11002.657470703125
2017-08-17,10792.039031982422
2017-08-18,10767.501220703125
2017-08-21,10747.734680175781
2017-08-22,10922.909851074219
2017-08-23,10936.541137695312
2017-08-24,10888.145904541016
2017-08-25,10928.361511230469
2017-08-28,11038.10287475586
2017-08-29,11136.255187988281
2017-08-30,11166.246795654297
2017-08-31,11210.550079345703
2017-09-01,11213.959503173828
2017-09-05,11079.681396484375
2017-09-06,11068.092346191406
2017-09-07,11023.787994384766
2017-09-08,10844.523010253906
2017-09-11,11040.147247314453
2017-09-12,10996.524353027344
2017-09-13,10914.04769897461
2017-09-14,10820.665588378906
2017-09-15,10929.724426269531
2017-09-18,10847.249908447266
2017-09-19,10851.338653564453
2017-09-20,10670.031433105469
2017-09-21,10487.35595703125
2017-09-22,10385.113830566406
2017-09-25,10293.777160644531
2017-09-26,10470.315246582031
2017-09-27,10544.611206054688
2017-09-28,10479.857788085938
2017-09-29,10537.11410522461
2017-10-02,10515.983581542969
2017-10-03,10561.650848388672
2017-10-04,10493.490142822266
2017-10-05,10623.677368164062
2017-10-06,10617.545318603516
2017-10-09,10654.351501464844
2017-10-10,10658.441314697266
2017-10-11,10702.74887084961
2017-10-12,10665.259094238281
2017-10-13,10732.73941040039
2017-10-16,10929.724426269531
2017-10-17,10969.941101074219
2017-10-18,10921.545867919922
2017-10-19,10663.89404296875
2017-10-20,10682.297668457031
2017-10-23,10676.843872070312
2017-10-24,10740.236511230469
2017-10-25,10693.204193115234
2017-10-26,10761.365966796875
2017-10-27,11145.796661376953
2017-10-30,11395.951385498047
2017-10-31,11554.085845947266
2017-11-01,11407.538299560547
2017-11-02,11490.695343017578
2017-11-03,11789.925689697266
2017-11-06,11909.207458496094
2017-11-07,11947.378692626953
2017-11-08,12044.850616455078
2017-11-09,12020.310668945312
2017-11-10,11980.635528564453
2017-11-13,11932.750854492188
2017-11-14,11752.840728759766
2017-11-15,11598.241729736328
2017-11-16,11736.424865722656
2017-11-17,11671.437530517578
2017-11-20,11659.807891845703
2017-11-21,11875.973052978516
2017-11-22,12000.472564697266
2017-11-24,12001.1572265625
2017-11-27,11940.958251953125
2017-11-28,11871.185760498047
2017-11-29,11625.604705810547
2017-11-30,11787.728576660156
2017-12-01,11733.003692626953
2017-12-04,11647.494659423828
2017-12-05,11636.549682617188
2017-12-06,11593.453369140625
2017-12-07,11614.66079711914
2017-12-08,11618.079833984375
2017-12-11,11843.822784423828
2017-12-12,11777.467193603516
2017-12-13,11816.45980834961
2017-12-14,11813.03970336914
2017-12-15,11932.750854492188
2017-12-18,12100.347747802734
2017-12-19,11971.742401123047
2017-12-20,11958.745574951172
2017-12-21,12003.893737792969
2017-12-22,12003.893737792969
2017-12-26,11700.168762207031
2017-12-27,11702.2216796875
2017-12-28,11735.055541992188
2017-12-29,11608.503112792969
2018-01-02,11815.775146484375
2018-01-03,11813.72329711914
2018-01-04,11868.448181152344
2018-01-05,12003.209075927734
2018-01-08,11958.745574951172
2018-01-09,11957.378387451172
2018-01-10,11954.640808105469
2018-01-11,12022.364654541016
2018-01-12,12146.179504394531
2018-01-16,12084.61441040039
2018-01-17,12283.67691040039
2018-01-18,12294.621887207031
2018-01-19,12239.898071289062
2018-01-22,12140.023956298828
2018-01-23,12142.759399414062
2018-01-24,11949.852447509766
2018-01-25,11737.106323242188
2018-01-26,11764.471435546875
2018-01-29,11521.626892089844
2018-01-30,11453.904113769531
2018-01-31,11485.370788574219
2018-02-01,11509.312591552734
